,Crop_Year,Crop,Area,Production,JUN,JUL,AUG,SEP,mansoon
0,1997,2,35800,14600,63.1,156.0,128.1,315.5,662.7
1,1998,2,33300,31900,136.2,214.1,252.2,255.5,858.0
2,1999,2,33856,35041,126.4,154.2,136.6,137.5,554.7
3,2000,2,34119,32038,200.5,154.1,311.5,102.9,768.9
4,2001,2,32390,37151,117.2,123.0,170.7,187.2,598.1
5,2002,2,29769,25720,115.2,74.7,173.5,71.7,435.0
6,2003,2,32664,44129,104.0,241.7,158.3,130.2,634.1
7,2004,2,30886,28909,152.8,192.1,125.0,101.7,571.5
8,2005,2,28064,22928,88.1,151.5,105.9,398.1,743.6
9,2006,2,28746,24549,132.0,126.8,279.7,224.1,762.6
10,2007,2,28000,34000,300.1,141.0,164.4,287.1,892.5
11,2008,2,26882,24839,119.8,208.5,276.2,166.8,771.4
12,2009,2,21901,20346,72.6,140.9,163.5,151.9,528.8
13,2010,2,22665,23322,156.1,318.9,248.6,230.5,954.0
14,2011,2,24806,17761,86.8,196.0,215.8,129.7,628.4
15,2012,2,21933,21692,95.4,221.9,221.2,246.5,785.0
16,2013,2,22786,19300,127.5,162.4,123.1,132.0,545.0
17,2014,2,20880,19982,45.7,151.8,177.8,144.5,519.7
