,Crop_Year,Crop,Area,Production,JUN,JUL,AUG,SEP,mansoon
0,1997,3,95600,79700,63.1,156.0,128.1,315.5,662.7
1,1998,3,114900,141300,136.2,214.1,252.2,255.5,858.0
2,1999,3,103372,134010,126.4,154.2,136.6,137.5,554.7
3,2000,3,115239,183345,200.5,154.1,311.5,102.9,768.9
4,2001,3,86579,145020,117.2,123.0,170.7,187.2,598.1
5,2002,3,61964,61344,115.2,74.7,173.5,71.7,435.0
6,2003,3,84676,136836,104.0,241.7,158.3,130.2,634.1
7,2004,3,95187,160771,152.8,192.1,125.0,101.7,571.5
8,2005,3,84808,125007,88.1,151.5,105.9,398.1,743.6
9,2006,3,93133,178070,132.0,126.8,279.7,224.1,762.6
10,2007,3,96000,195000,300.1,141.0,164.4,287.1,892.5
11,2008,3,99378,167253,119.8,208.5,276.2,166.8,771.4
12,2009,3,65447,69112,72.6,140.9,163.5,151.9,528.8
13,2010,3,110289,192378,156.1,318.9,248.6,230.5,954.0
14,2011,3,109505,166766,86.8,196.0,215.8,129.7,628.4
15,2012,3,98718,141562,95.4,221.9,221.2,246.5,785.0
16,2013,3,98637,171530,127.5,162.4,123.1,132.0,545.0
17,2014,3,98190,159755,45.7,151.8,177.8,144.5,519.7
